Match_no,Match_id,Date,Venue,Innings,Batting_team,Bowling_team,Winner,Won_by,Overs,Striker,Striker_hand,Bowler,Bowler_style,Delivery,Pitching,Shot_direction,runs_of_bat,extras,wide,noballs,legbyes,byes,panja,isWicket,wicket_type
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,1.5,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,Short of good length,outside off stump,Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,1.6,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,Full length,outside leg stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.1,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,outside leg stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.2,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,on off stump,,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.3,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,on leg stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.4,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,short length,outside leg stump,Wicketkeeper,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.5,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,outside leg stump,Mid-On,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.6,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,on off stump,Long-Off,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.1,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,short of good length,outside off stump,,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.2,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,good length,on leg stump,Deep Fine Leg,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.3,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,short of good length,outside off stump,Square Leg,6,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.4,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,Good length,outside off stump,Covers,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.5,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,short of good length,outside off stump,Long-On,6,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.6,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,Good length,outside off stump,Short Third Man,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.1,Sunil Narine,Left Handed Bat,Krunal Pandya,Left-arm orthodox,good length,on off stump,Long-On,6,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.2,Sunil Narine,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Full length,on leg stump,Wide Long-On,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.3,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on leg stump,Backward Short Leg,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.4,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Full length,on leg stump,Third Man,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.5,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,full length,on leg stump,Deep Square Leg,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.6,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,full length,on middle stump,Wide Long-On,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.1,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,full length,on leg stump,Mid-On,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.2,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,Good length,outside off stump,Long-On,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.3,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,full length,on leg stump,Third Man,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.4,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,full length,outside leg stump,Deep Backward Square Leg,6,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.5,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,full toss,outside off stump,Point,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.6,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,Good length,outside off stump,Deep Backward Point,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,6.1,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,short of good length,outside off stump,,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,6.2,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,good length,outside off stump,Point,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,6.3,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Good length,outside off stump,Forward Point,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,6.4,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,outside off stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,6.5,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Good length,outside off stump,,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,6.6,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Good length,outside off stump,Wide Long-Off,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,7.1,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,Good length,on middle stump,Mid-Wicket,0,1,0,0,1,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,7.2,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,Yorker,outside off stump,,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,7.2,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,Good length,wide outside off stump,,0,1,1,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,7.3,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,Short of good length,outside off stump,Long-On,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,7.4,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,Full length,outside off stump,Long-Off,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,7.4,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,Short length,outside off stump,,0,1,1,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,7.5,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,yorker,outside off stump,Third Man,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,7.6,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,Short of good length,wide outside off stump,Covers,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,8.1,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,full length,outside off stump,Deep Midwicket,6,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,8.1,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,outside leg stump,Square Leg,0,1,1,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,8.2,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Good length,outside off stump,Deep Extra Covers,2,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,8.3,Ajinkya Rahane,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,outside off stump,Deep Covers,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,8.4,Sunil Narine,Left Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,outside off stump,Long-Off,2,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,8.5,Sunil Narine,Left Handed Bat,Suyash Sharma,Right-arm legbreak,full length,outside off stump,Deep Extra Cover,6,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,8.6,Sunil Narine,Left Handed Bat,Suyash Sharma,Right-arm legbreak,full length,outside off stump,Straight,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,9.1,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,Good length,outside off stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,9.2,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,Short length,outside off stump,Deep Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,9.3,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,full toss,on leg stump,Deep Extra Cover,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,9.4,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,Short of good length,outside off stump,,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,9.5,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,short of good length,outside off stump,Wide Long-On,6,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,9.6,Sunil Narine,Left Handed Bat,Rasikh Dar,Right-arm fast-medium,good length,outside off,,0,0,0,0,0,0,0,1,Caught Behind
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,10.1,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,outside off stump,Country,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,10.2,Venkatesh Iyer,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,outside leg stump,Country,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,10.3,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,good length,on leg stump,Deep Square Leg,0,0,0,0,0,0,0,1,Caught
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,10.4,Angkrish Raghuvanshi,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on leg stump,Short Square Leg,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,10.5,Venkatesh Iyer,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on leg stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,10.6,Venkatesh Iyer,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Full length,outside leg stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,11.1,Angkrish Raghuvanshi,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,on off stump,Deep Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,11.2,Venkatesh Iyer,Left Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,outside off stump,Forward Point,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,11.3,Venkatesh Iyer,Left Handed Bat,Suyash Sharma,Right-arm legbreak,good length,outside leg stump,Deep Backward Square Leg,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,11.4,Venkatesh Iyer,Left Handed Bat,Suyash Sharma,Right-arm legbreak,Good length,on off stump,Cover,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,11.5,Angkrish Raghuvanshi,Right Handed Bat,Suyash Sharma,Right-arm legbreak,full length,outside off stump,Long Off,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,11.6,Angkrish Raghuvanshi,Right Handed Bat,Suyash Sharma,Right-arm legbreak,good length,outside off stump,Deep Point,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,12.1,Venkatesh Iyer,Left Handed Bat,Krunal Pandya,Left-arm orthodox,good length,on leg stump,Long-On,0,0,0,0,0,0,0,1,Bowled
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,12.1,Venkatesh Iyer,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Short length,outside leg stump,,0,1,1,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,12.2,Rinku Singh,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Full length,on off stump,Long-Off,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,12.3,Angkrish Raghuvanshi,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on middle stump,Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,12.4,Rinku Singh,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on middle stump,Short Third Man,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,12.5,Angkrish Raghuvanshi,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,outside off stump,Wide Long-On,2,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,12.6,Angkrish Raghuvanshi,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Full length,outside off stump,Deep Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.1,Angkrish Raghuvanshi,Right Handed Bat,Liam Livingstone,Right-arm legbreak,good length,on off stump,Point,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.2,Rinku Singh,Left Handed Bat,Liam Livingstone,Right-arm legbreak,Good length,outside off stump,Wide Long-On,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.3,Angkrish Raghuvanshi,Right Handed Bat,Liam Livingstone,Right-arm legbreak,Good length,on off stump,Deep Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.4,Rinku Singh,Left Handed Bat,Liam Livingstone,Right-arm legbreak,good length,outside off stump,Long-On,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.5,Rinku Singh,Left Handed Bat,Liam Livingstone,Right-arm legbreak,Full length,on off stump,Deep Mid-Wicket,2,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,13.6,Rinku Singh,Left Handed Bat,Liam Livingstone,Right-arm legbreak,Good length,on off stump,Deep Square Leg,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.1,Rinku Singh,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on leg stump,Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.2,Angkrish Raghuvanshi,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,outside off stump,Deep Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.3,Rinku Singh,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,outside leg stump,,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.4,Rinku Singh,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on middle stump,Country,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.5,Angkrish Raghuvanshi,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,outside off stump,Long-On,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,14.6,Rinku Singh,Left Handed Bat,Krunal Pandya,Left-arm orthodox,good length,on leg stump,Mid-Wicket,0,0,0,0,0,0,0,1,Bowled
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,15.1,Angkrish Raghuvanshi,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Good length,outside off stump,Deep Covers,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,15.2,Andre Russell,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,on off stump,Mid-On,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,15.3,Andre Russell,Right Handed Bat,Suyash Sharma,Right-arm legbreak,good length,outside off stump,Point,4,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,15.4,Andre Russell,Right Handed Bat,Suyash Sharma,Right-arm legbreak,full length,outside off stump,Cow Corner,0,0,0,0,0,0,0,1,Bowled
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,15.5,Ramandeep Singh,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,outside off stump,Mid-On,0,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,15.6,Ramandeep Singh,Right Handed Bat,Suyash Sharma,Right-arm legbreak,Full length,on middle stump,Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22-Mar-25,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,16.1,Ramandeep Singh,Right Handed Bat,Liam Livingstone,Right-arm legbreak,good length,on off stump,Wide Long-On,1,0,0,0,0,0,0,0,
